,best_param,train_loss,test_loss
0,1,[0.031997848884108615],[0.032258064516129004]
1,1,[0.032266738370529735],[0.0370967741935484]
2,1,[0.03455229900510892],[0.029032258064516148]
3,1,[0.03361118580263511],[0.03118279569892468]
4,1,[0.03414896477547724],[0.03010752688172047]
5,1,[0.03347674105942455],[0.03548387096774197]
6,1,[0.032670072600161304],[0.032258064516129004]
7,1,[0.031460069911266486],[0.03655913978494618]
8,1,[0.032670072600161304],[0.030645161290322576]
9,1,[0.03347674105942455],[0.0317204301075269]
10,1,[0.032804517343371864],[0.0317204301075269]
11,1,[0.031594514654477046],[0.029569892473118253]
12,1,[0.031191180424845366],[0.03279569892473122]
13,3,[0.03777897284216192],[0.03548387096774197]
14,1,[0.031460069911266486],[0.032258064516129004]
15,1,[0.03388007528905623],[0.02849462365591393]
16,1,[0.03414896477547724],[0.027956989247311825]
17,1,[0.032670072600161304],[0.026881720430107503]
18,1,[0.032670072600161304],[0.029569892473118253]
19,1,[0.03388007528905623],[0.027956989247311825]
